Constituency,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,%_of_Votes,Tot_Constituency_votes_polled,Tot_votes_by_parties,Winning_votes,Win_Lost_Flag
Maldaha,Manoj Kumar,None of the Above,172,1,173,0.08,218415,173,34421,False
English Bazar,Deepa Bora,Bharatiya Janata Party,52504,530,53034,24.51,216394,53034,53034,True
English Bazar,Anjali Sen,All India Trinamool Congress,46926,474,47400,21.9,216394,47400,53034,False
English Bazar,Deepa Sharma,Indian National Congress,32466,327,32793,15.15,216394,32793,53034,False
English Bazar,Rahul Bora,Communist Party of India (Marxist),28004,282,28286,13.07,216394,28286,53034,False
English Bazar,Kavita Sen,None of the Above,1850,18,1868,0.86,216394,1868,53034,False
English Bazar,Anita Sharma,Independent,213,2,215,0.1,216394,215,53034,False
Mothabari,Manoj Kumar,Bharatiya Janata Party,84158,850,85008,37.04,229522,85008,85008,True
Mothabari,Suresh Gogoi,All India Trinamool Congress,50295,508,50803,22.13,229522,50803,85008,False
Mothabari,Priya Sen,Indian National Congress,34383,347,34730,15.13,229522,34730,85008,False
Mothabari,Priya Kumar,None of the Above,16961,171,17132,7.46,229522,17132,85008,False
Mothabari,Rahul Reddy,Communist Party of India (Marxist),7067,71,7138,3.11,229522,7138,85008,False
Mothabari,Anita Menon,Independent,4232,42,4274,1.86,229522,4274,85008,False
Sujapur,Kavita Roy,Bharatiya Janata Party,63583,642,64225,26.95,238292,64225,64225,True
Sujapur,Priya Singh,Indian National Congress,55377,559,55936,23.47,238292,55936,64225,False
Sujapur,Sunil Singh,All India Trinamool Congress,31904,322,32226,13.52,238292,32226,64225,False
Sujapur,Priya Sen,None of the Above,14723,148,14871,6.24,238292,14871,64225,False
Sujapur,Amit Patel,Communist Party of India (Marxist),10686,107,10793,4.53,238292,10793,64225,False
Sujapur,Anita Bora,Independent,3511,35,3546,1.49,238292,3546,64225,False
Baisnabnagar,Amit Sen,Bharatiya Janata Party,101915,1029,102944,43.92,234390,102944,102944,True
Baisnabnagar,Ramesh Sen,Indian National Congress,40854,412,41266,17.61,234390,41266,102944,False
Baisnabnagar,Rahul Bora,Communist Party of India (Marxist),26303,265,26568,11.33,234390,26568,102944,False
Baisnabnagar,Sunil Sen,All India Trinamool Congress,15630,157,15787,6.74,234390,15787,102944,False
Baisnabnagar,Kavita Sen,None of the Above,8544,86,8630,3.68,234390,8630,102944,False
Baisnabnagar,Anita Singh,Independent,1163,11,1174,0.5,234390,1174,102944,False
Farakka,Sunil Roy,All India Trinamool Congress,48558,490,49048,30.04,163292,49048,49048,True
Farakka,Manoj Menon,Communist Party of India (Marxist),32172,324,32496,19.9,163292,32496,49048,False
Farakka,Anjali Sen,Bharatiya Janata Party,25933,261,26194,16.04,163292,26194,49048,False
Farakka,Anjali Kumar,Indian National Congress,15039,151,15190,9.3,163292,15190,49048,False
Farakka,Sanjay Reddy,None of the Above,7637,77,7714,4.72,163292,7714,49048,False
Farakka,Deepa Das,Independent,4576,46,4622,2.83,163292,4622,49048,False
Samserganj,Manoj Patel,All India Trinamool Congress,53788,543,54331,33.34,162960,54331,54331,True
Samserganj,Deepa Gogoi,Indian National Congress,35241,355,35596,21.84,162960,35596,54331,False
Samserganj,Amit Das,Communist Party of India (Marxist),21318,215,21533,13.21,162960,21533,54331,False
Samserganj,Manoj Patel,Bharatiya Janata Party,9441,95,9536,5.85,162960,9536,54331,False
Samserganj,Sunil Roy,None of the Above,4094,41,4135,2.54,162960,4135,54331,False
Samserganj,Suresh Reddy,Independent,2851,28,2879,1.77,162960,2879,54331,False
Suti,Amit Menon,Bharatiya Janata Party,53731,542,54273,35.39,153345,54273,54273,True
Suti,Rahul Reddy,Indian National Congress,40035,404,40439,26.37,153345,40439,54273,False
Suti,Amit Sen,Communist Party of India (Marxist),22137,223,22360,14.58,153345,22360,54273,False
Suti,Sunil Menon,All India Trinamool Congress,11804,119,11923,7.78,153345,11923,54273,False
Suti,Ramesh Singh,Independent,4871,49,4920,3.21,153345,4920,54273,False
Suti,Deepa Kumar,None of the Above,246,2,248,0.16,153345,248,54273,False
Jangipur,Anjali Roy,Bharatiya Janata Party,104615,1056,105671,49.35,214104,105671,105671,True
Jangipur,Anjali Sen,None of the Above,21798,220,22018,10.28,214104,22018,105671,False
Jangipur,Anita Gogoi,Communist Party of India (Marxist),16358,165,16523,7.72,214104,16523,105671,False
Jangipur,Anjali Bora,Indian National Congress,9718,98,9816,4.58,214104,9816,105671,False
Jangipur,Anita Singh,Independent,3910,39,3949,1.84,214104,3949,105671,False
Jangipur,Priya Patel,All India Trinamool Congress,1212,12,1224,0.57,214104,1224,105671,False
Raghunathganj,Sanjay Sharma,Communist Party of India (Marxist),35179,355,35534,16.58,214301,35534,35534,True
Raghunathganj,Ramesh Patel,Bharatiya Janata Party,32606,329,32935,15.37,214301,32935,35534,False
Raghunathganj,Kavita Sharma,Indian National Congress,30174,304,30478,14.22,214301,30478,35534,False
Raghunathganj,Anjali Sharma,None of the Above,11964,120,12084,5.64,214301,12084,35534,False
Raghunathganj,Manoj Sen,All India Trinamool Congress,6800,68,6868,3.2,214301,6868,35534,False
Raghunathganj,Anjali Das,Independent,1066,10,1076,0.5,214301,1076,35534,False
Sagardighi,Anjali Kumar,All India Trinamool Congress,74059,748,74807,31.85,234870,74807,74807,True
Sagardighi,Manoj Sharma,Bharatiya Janata Party,56652,572,57224,24.36,234870,57224,74807,False
Sagardighi,Amit Singh,Indian National Congress,41529,419,41948,17.86,234870,41948,74807,False
Sagardighi,Priya Nair,None of the Above,19167,193,19360,8.24,234870,19360,74807,False
Sagardighi,Rahul Das,Communist Party of India (Marxist),11187,113,11300,4.81,234870,11300,74807,False
Sagardighi,Manoj Roy,Independent,178,1,179,0.08,234870,179,74807,False
Lalgola,Ramesh Roy,Indian National Congress,80960,817,81777,39.12,209038,81777,81777,True
Lalgola,Manoj Kumar,Bharatiya Janata Party,25988,262,26250,12.56,209038,26250,81777,False
Lalgola,Sanjay Gogoi,None of the Above,15865,160,16025,7.67,209038,16025,81777,False
Lalgola,Ramesh Nair,Communist Party of India (Marxist),12854,129,12983,6.21,209038,12983,81777,False
Lalgola,Deepa Gogoi,All India Trinamool Congress,10245,103,10348,4.95,209038,10348,81777,False
Lalgola,Sunil Roy,Independent,1031,10,1041,0.5,209038,1041,81777,False
Bhagabangola,Priya Roy,Communist Party of India (Marxist),57805,583,58388,27.09,215539,58388,58388,True
Bhagabangola,Deepa Sharma,Bharatiya Janata Party,43487,439,43926,20.38,215539,43926,58388,False
Bhagabangola,Ramesh Sen,Indian National Congress,28900,291,29191,13.54,215539,29191,58388,False
Bhagabangola,Sanjay Menon,None of the Above,23559,237,23796,11.04,215539,23796,58388,False
Bhagabangola,Rahul Menon,All India Trinamool Congress,21447,216,21663,10.05,215539,21663,58388,False
Bhagabangola,Deepa Roy,Independent,3972,40,4012,1.86,215539,4012,58388,False
Raninagar,Amit Das,All India Trinamool Congress,103863,1049,104912,45.68,229660,104912,104912,True
Raninagar,Suresh Bora,Indian National Congress,40547,409,40956,17.83,229660,40956,104912,False
Raninagar,Anita Sharma,Bharatiya Janata Party,27067,273,27340,11.9,229660,27340,104912,False
Raninagar,Kavita Patel,None of the Above,4533,45,4578,1.99,229660,4578,104912,False
Raninagar,Rahul Sen,Communist Party of India (Marxist),2739,27,2766,1.2,229660,2766,104912,False
Raninagar,Sanjay Reddy,Independent,1267,12,1279,0.56,229660,1279,104912,False
Murshidabad,Sanjay Gogoi,All India Trinamool Congress,78774,795,79569,48.54,163908,79569,79569,True
Murshidabad,Anita Patel,None of the Above,12462,125,12587,7.68,163908,12587,79569,False
Murshidabad,Anjali Kumar,Communist Party of India (Marxist),5635,56,5691,3.47,163908,5691,79569,False
Murshidabad,Suresh Reddy,Bharatiya Janata Party,5592,56,5648,3.45,163908,5648,79569,False
Murshidabad,Priya Menon,Independent,4048,40,4088,2.49,163908,4088,79569,False
Murshidabad,Anjali Roy,Indian National Congress,3649,36,3685,2.25,163908,3685,79569,False
Nabagram,Manoj Sharma,Bharatiya Janata Party,52474,530,53004,31.37,168966,53004,53004,True
Nabagram,Kavita Sen,Indian National Congress,36445,368,36813,21.79,168966,36813,53004,False
Nabagram,Manoj Bora,All India Trinamool Congress,31321,316,31637,18.72,168966,31637,53004,False
Nabagram,Priya Sen,Communist Party of India (Marxist),14743,148,14891,8.81,168966,14891,53004,False
Nabagram,Anita Patel,None of the Above,9574,96,9670,5.72,168966,9670,53004,False
Nabagram,Amit Sen,Independent,2241,22,2263,1.34,168966,2263,53004,False
Khargram,Priya Roy,Communist Party of India (Marxist),37831,382,38213,24.77,154279,38213,38213,True
Khargram,Kavita Sen,Indian National Congress,23656,238,23894,15.49,154279,23894,38213,False
Khargram,Amit Sharma,None of the Above,22291,225,22516,14.59,154279,22516,38213,False
Khargram,Amit Singh,Bharatiya Janata Party,13557,136,13693,8.88,154279,13693,38213,False
Khargram,Kavita Das,All India Trinamool Congress,10214,103,10317,6.69,154279,10317,38213,False
Khargram,Deepa Bora,Independent,2094,21,2115,1.37,154279,2115,38213,False
Burwan,Ramesh Sen,Bharatiya Janata Party,68058,687,68745,38.13,180277,68745,68745,True
Burwan,Priya Nair,Communist Party of India (Marxist),35708,360,36068,20.01,180277,36068,68745,False
Burwan,Suresh Gogoi,All India Trinamool Congress,34110,344,34454,19.11,180277,34454,68745,False
Burwan,Sanjay Das,None of the Above,10725,108,10833,6.01,180277,10833,68745,False
Burwan,Priya Gogoi,Independent,2212,22,2234,1.24,180277,2234,68745,False
Burwan,Sanjay Menon,Indian National Congress,1720,17,1737,0.96,180277,1737,68745,False
Kandi,Amit Roy,Bharatiya Janata Party,64814,654,65468,40.94,159929,65468,65468,True
Kandi,Priya Sen,Indian National Congress,28197,284,28481,17.81,159929,28481,65468,False
Kandi,Anjali Bora,All India Trinamool Congress,21513,217,21730,13.59,159929,21730,65468,False
Kandi,Manoj Kumar,None of the Above,6324,63,6387,3.99,159929,6387,65468,False
Kandi,Deepa Das,Independent,3631,36,3667,2.29,159929,3667,65468,False
Kandi,Deepa Nair,Communist Party of India (Marxist),868,8,876,0.55,159929,876,65468,False
Bharatpur,Ramesh Roy,Bharatiya Janata Party,74187,749,74936,35.31,212234,74936,74936,True
Bharatpur,Rahul Menon,All India Trinamool Congress,56924,574,57498,27.09,212234,57498,74936,False
Bharatpur,Ramesh Nair,Indian National Congress,22999,232,23231,10.95,212234,23231,74936,False
Bharatpur,Deepa Kumar,Communist Party of India (Marxist),10527,106,10633,5.01,212234,10633,74936,False
Bharatpur,Ramesh Das,None of the Above,6665,67,6732,3.17,212234,6732,74936,False
Bharatpur,Priya Nair,Independent,673,6,679,0.32,212234,679,74936,False
Rejinagar,Deepa Reddy,Bharatiya Janata Party,75320,760,76080,31.4,242283,76080,76080,True
Rejinagar,Sunil Nair,All India Trinamool Congress,52094,526,52620,21.72,242283,52620,76080,False
Rejinagar,Ramesh Roy,None of the Above,33332,336,33668,13.9,242283,33668,76080,False
Rejinagar,Kavita Nair,Indian National Congress,23839,240,24079,9.94,242283,24079,76080,False
Rejinagar,Suresh Nair,Independent,2047,20,2067,0.85,242283,2067,76080,False
Rejinagar,Priya Singh,Communist Party of India (Marxist),676,6,682,0.28,242283,682,76080,False
Beldanga,Priya Bora,Bharatiya Janata Party,87848,887,88735,42.95,206623,88735,88735,True
Beldanga,Manoj Roy,Communist Party of India (Marxist),29080,293,29373,14.22,206623,29373,88735,False
Beldanga,Anjali Singh,Indian National Congress,18880,190,19070,9.23,206623,19070,88735,False
Beldanga,Anjali Sharma,All India Trinamool Congress,12517,126,12643,6.12,206623,12643,88735,False
Beldanga,Priya Gogoi,None of the Above,7861,79,7940,3.84,206623,7940,88735,False
Beldanga,Amit Roy,Independent,4018,40,4058,1.96,206623,4058,88735,False
Baharampur,Deepa Roy,All India Trinamool Congress,70707,714,71421,44.25,161393,71421,71421,True
Baharampur,Sunil Nair,Bharatiya Janata Party,43341,437,43778,27.13,161393,43778,71421,False
Baharampur,Ramesh Nair,Communist Party of India (Marxist),17790,179,17969,11.13,161393,17969,71421,False
Baharampur,Suresh Gogoi,None of the Above,3824,38,3862,2.39,161393,3862,71421,False
Baharampur,Anita Sharma,Independent,3621,36,3657,2.27,161393,3657,71421,False
Baharampur,Ramesh Singh,Indian National Congress,1235,12,1247,0.77,161393,1247,71421,False
Hariharpara,Ramesh Kumar,Indian National Congress,60183,607,60790,25.0,243170,60790,60790,True
Hariharpara,Anjali Menon,All India Trinamool Congress,57408,579,57987,23.85,243170,57987,60790,False
Hariharpara,Sanjay Roy,Bharatiya Janata Party,55578,561,56139,23.09,243170,56139,60790,False
Hariharpara,Amit Sharma,Communist Party of India (Marxist),18776,189,18965,7.8,243170,18965,60790,False
Hariharpara,Deepa Sharma,None of the Above,11484,116,11600,4.77,243170,11600,60790,False
Hariharpara,Deepa Roy,Independent,1957,19,1976,0.81,243170,1976,60790,False
Naoda,Amit Kumar,All India Trinamool Congress,66273,669,66942,27.73,241373,66942,66942,True
Naoda,Ramesh Gogoi,Indian National Congress,46959,474,47433,19.65,241373,47433,66942,False
Naoda,Rahul Menon,Communist Party of India (Marxist),43029,434,43463,18.01,241373,43463,66942,False
Naoda,Deepa Nair,Bharatiya Janata Party,22787,230,23017,9.54,241373,23017,66942,False
Naoda,Amit Reddy,None of the Above,16495,166,16661,6.9,241373,16661,66942,False
Naoda,Kavita Sen,Independent,800,8,808,0.33,241373,808,66942,False
Domkal,Anjali Das,Bharatiya Janata Party,55080,556,55636,33.51,166010,55636,55636,True
Domkal,Rahul Kumar,All India Trinamool Congress,29825,301,30126,18.15,166010,30126,55636,False
Domkal,Manoj Menon,Indian National Congress,22198,224,22422,13.51,166010,22422,55636,False
Domkal,Sunil Gogoi,Communist Party of India (Marxist),18182,183,18365,11.06,166010,18365,55636,False
Domkal,Anjali Kumar,None of the Above,5059,51,5110,3.08,166010,5110,55636,False
Domkal,Priya Sharma,Independent,2921,29,2950,1.78,166010,2950,55636,False
Jalangi,Anita Roy,Indian National Congress,74256,750,75006,39.55,189653,75006,75006,True
Jalangi,Amit Singh,Communist Party of India (Marxist),34104,344,34448,18.16,189653,34448,75006,False
Jalangi,Kavita Patel,Bharatiya Janata Party,18189,183,18372,9.69,189653,18372,75006,False
Jalangi,Amit Sen,None of the Above,9782,98,9880,5.21,189653,9880,75006,False
Jalangi,Manoj Roy,All India Trinamool Congress,6624,66,6690,3.53,189653,6690,75006,False
Jalangi,Amit Kumar,Independent,2979,30,3009,1.59,189653,3009,75006,False
Karimpur,Manoj Gogoi,Indian National Congress,55857,564,56421,27.3,206649,56421,56421,True
Karimpur,Manoj Singh,Bharatiya Janata Party,42707,431,43138,20.88,206649,43138,56421,False
Karimpur,Deepa Kumar,None of the Above,31436,317,31753,15.37,206649,31753,56421,False
Karimpur,Anjali Das,All India Trinamool Congress,20258,204,20462,9.9,206649,20462,56421,False
Karimpur,Suresh Menon,Independent,4019,40,4059,1.96,206649,4059,56421,False
Karimpur,Ramesh Gogoi,Communist Party of India (Marxist),2369,23,2392,1.16,206649,2392,56421,False
Tehatta,Amit Sharma,Indian National Congress,49603,501,50104,32.74,153030,50104,50104,True
Tehatta,Deepa Reddy,All India Trinamool Congress,26950,272,27222,17.79,153030,27222,50104,False
Tehatta,Deepa Kumar,Bharatiya Janata Party,19952,201,20153,13.17,153030,20153,50104,False
Tehatta,Sanjay Reddy,None of the Above,11955,120,12075,7.89,153030,12075,50104,False
Tehatta,Sanjay Menon,Communist Party of India (Marxist),10550,106,10656,6.96,153030,10656,50104,False
Tehatta,Amit Roy,Independent,1386,14,1400,0.91,153030,1400,50104,False
Palashipara,Kavita Patel,All India Trinamool Congress,73734,744,74478,35.54,209590,74478,74478,True
Palashipara,Suresh Sharma,Bharatiya Janata Party,33469,338,33807,16.13,209590,33807,74478,False
Palashipara,Sanjay Roy,Communist Party of India (Marxist),18358,185,18543,8.85,209590,18543,74478,False
Palashipara,Priya Sharma,Indian National Congress,18207,183,18390,8.77,209590,18390,74478,False
Palashipara,Ramesh Sen,None of the Above,2917,29,2946,1.41,209590,2946,74478,False
Palashipara,Sunil Patel,Independent,2300,23,2323,1.11,209590,2323,74478,False
Kaliganj,Suresh Sharma,All India Trinamool Congress,68916,696,69612,40.15,173398,69612,69612,True
Kaliganj,Anita Menon,Indian National Congress,19254,194,19448,11.22,173398,19448,69612,False
Kaliganj,Anita Roy,None of the Above,7009,70,7079,4.08,173398,7079,69612,False
Kaliganj,Suresh Gogoi,Bharatiya Janata Party,6101,61,6162,3.55,173398,6162,69612,False
Kaliganj,Sunil Gogoi,Independent,3298,33,3331,1.92,173398,3331,69612,False
Kaliganj,Amit Menon,Communist Party of India (Marxist),677,6,683,0.39,173398,683,69612,False
Nakashipara,Priya Nair,All India Trinamool Congress,51435,519,51954,29.43,176556,51954,51954,True
Nakashipara,Ramesh Bora,Indian National Congress,41923,423,42346,23.98,176556,42346,51954,False
Nakashipara,Rahul Bora,Bharatiya Janata Party,27454,277,27731,15.71,176556,27731,51954,False
Nakashipara,Suresh Roy,Communist Party of India (Marxist),16533,167,16700,9.46,176556,16700,51954,False
Nakashipara,Ramesh Sharma,None of the Above,2166,21,2187,1.24,176556,2187,51954,False
Nakashipara,Manoj Gogoi,Independent,570,5,575,0.33,176556,575,51954,False
Chapra,Rahul Kumar,Bharatiya Janata Party,73611,743,74354,36.35,204524,74354,74354,True
Chapra,Sunil Kumar,Indian National Congress,49013,495,49508,24.21,204524,49508,74354,False
Chapra,Suresh Bora,All India Trinamool Congress,23867,241,24108,11.79,204524,24108,74354,False
Chapra,Manoj Menon,Communist Party of India (Marxist),10008,101,10109,4.94,204524,10109,74354,False
Chapra,Ramesh Gogoi,None of the Above,4140,41,4181,2.04,204524,4181,74354,False
Chapra,Kavita Nair,Independent,1299,13,1312,0.64,204524,1312,74354,False
Krishnanagar Uttar,Anita Das,Bharatiya Janata Party,69722,704,70426,44.65,157734,70426,70426,True
Krishnanagar Uttar,Ramesh Das,Communist Party of India (Marxist),11154,112,11266,7.14,157734,11266,70426,False
Krishnanagar Uttar,Priya Sharma,Indian National Congress,8860,89,8949,5.67,157734,8949,70426,False
Krishnanagar Uttar,Amit Das,All India Trinamool Congress,7826,79,7905,5.01,157734,7905,70426,False
Krishnanagar Uttar,Ramesh Bora,None of the Above,3637,36,3673,2.33,157734,3673,70426,False
Krishnanagar Uttar,Sanjay Nair,Independent,369,3,372,0.24,157734,372,70426,False
Nabadwip,Priya Sen,Bharatiya Janata Party,64922,655,65577,27.41,239202,65577,65577,True
Nabadwip,Manoj Menon,Indian National Congress,45766,462,46228,19.33,239202,46228,65577,False
Nabadwip,Rahul Patel,All India Trinamool Congress,38561,389,38950,16.28,239202,38950,65577,False
Nabadwip,Suresh Gogoi,Communist Party of India (Marxist),22077,222,22299,9.32,239202,22299,65577,False
Nabadwip,Suresh Gogoi,None of the Above,17701,178,17879,7.47,239202,17879,65577,False
Nabadwip,Anjali Menon,Independent,608,6,614,0.26,239202,614,65577,False
Krishnanagar Dakshin,Kavita Singh,All India Trinamool Congress,76213,769,76982,41.62,184948,76982,76982,True
Krishnanagar Dakshin,Sanjay Gogoi,Bharatiya Janata Party,45848,463,46311,25.04,184948,46311,76982,False
Krishnanagar Dakshin,Sunil Das,Indian National Congress,20467,206,20673,11.18,184948,20673,76982,False
Krishnanagar Dakshin,Anjali Menon,None of the Above,13959,141,14100,7.62,184948,14100,76982,False
Krishnanagar Dakshin,Ramesh Das,Independent,3634,36,3670,1.98,184948,3670,76982,False
Krishnanagar Dakshin,Deepa Singh,Communist Party of India (Marxist),1147,11,1158,0.63,184948,1158,76982,False
Santipur,Priya Das,Bharatiya Janata Party,57343,579,57922,26.25,220687,57922,57922,True
Santipur,Rahul Singh,All India Trinamool Congress,48699,491,49190,22.29,220687,49190,57922,False
Santipur,Sanjay Sen,Indian National Congress,47554,480,48034,21.77,220687,48034,57922,False
Santipur,Kavita Gogoi,Communist Party of India (Marxist),21605,218,21823,9.89,220687,21823,57922,False
Santipur,Rahul Kumar,None of the Above,19573,197,19770,8.96,220687,19770,57922,False
Santipur,Rahul Roy,Independent,2130,21,2151,0.97,220687,2151,57922,False
Ranaghat Uttar Paschim,Deepa Roy,Indian National Congress,53623,541,54164,24.27,223216,54164,54164,True
Ranaghat Uttar Paschim,Deepa Sen,Communist Party of India (Marxist),39596,399,39995,17.92,223216,39995,54164,False
Ranaghat Uttar Paschim,Kavita Sharma,Bharatiya Janata Party,39060,394,39454,17.68,223216,39454,54164,False
Ranaghat Uttar Paschim,Anita Menon,All India Trinamool Congress,33854,341,34195,15.32,223216,34195,54164,False
Ranaghat Uttar Paschim,Anjali Sen,None of the Above,20833,210,21043,9.43,223216,21043,54164,False
Ranaghat Uttar Paschim,Sunil Nair,Independent,1555,15,1570,0.7,223216,1570,54164,False
Krishnaganj,Priya Sharma,All India Trinamool Congress,53259,537,53796,30.98,173641,53796,53796,True
Krishnaganj,Sunil Sharma,Indian National Congress,33720,340,34060,19.62,173641,34060,53796,False
Krishnaganj,Amit Nair,Communist Party of India (Marxist),31937,322,32259,18.58,173641,32259,53796,False
Krishnaganj,Rahul Sen,None of the Above,15036,151,15187,8.75,173641,15187,53796,False
Krishnaganj,Priya Reddy,Bharatiya Janata Party,7397,74,7471,4.3,173641,7471,53796,False
Krishnaganj,Manoj Reddy,Independent,2214,22,2236,1.29,173641,2236,53796,False
Ranaghat Uttar Purba,Deepa Roy,Bharatiya Janata Party,60886,615,61501,40.83,150613,61501,61501,True
Ranaghat Uttar Purba,Suresh Nair,None of the Above,23631,238,23869,15.85,150613,23869,61501,False
Ranaghat Uttar Purba,Ramesh Bora,Communist Party of India (Marxist),10880,109,10989,7.3,150613,10989,61501,False
Ranaghat Uttar Purba,Suresh Bora,Indian National Congress,8425,85,8510,5.65,150613,8510,61501,False
Ranaghat Uttar Purba,Sanjay Sharma,All India Trinamool Congress,6312,63,6375,4.23,150613,6375,61501,False
Ranaghat Uttar Purba,Suresh Kumar,Independent,1320,13,1333,0.89,150613,1333,61501,False
Ranaghat Dakshin,Anjali Bora,All India Trinamool Congress,112952,1140,114092,46.42,245797,114092,114092,True
Ranaghat Dakshin,Suresh Patel,Bharatiya Janata Party,43757,441,44198,17.98,245797,44198,114092,False
Ranaghat Dakshin,Rahul Patel,Indian National Congress,43015,434,43449,17.68,245797,43449,114092,False
Ranaghat Dakshin,Sanjay Bora,Communist Party of India (Marxist),8554,86,8640,3.52,245797,8640,114092,False
Ranaghat Dakshin,Ramesh Reddy,None of the Above,6286,63,6349,2.58,245797,6349,114092,False
Ranaghat Dakshin,Sunil Bora,Independent,2534,25,2559,1.04,245797,2559,114092,False
Chakdaha,Amit Das,None of the Above,33050,333,33383,17.81,187399,33383,33383,True
Chakdaha,Ramesh Bora,Indian National Congress,22195,224,22419,11.96,187399,22419,33383,False
Chakdaha,Kavita Kumar,Bharatiya Janata Party,20569,207,20776,11.09,187399,20776,33383,False
Chakdaha,Anita Nair,All India Trinamool Congress,17978,181,18159,9.69,187399,18159,33383,False
Chakdaha,Amit Das,Communist Party of India (Marxist),16307,164,16471,8.79,187399,16471,33383,False
Chakdaha,Manoj Bora,Independent,2502,25,2527,1.35,187399,2527,33383,False
Kalyani,Rahul Nair,Bharatiya Janata Party,68595,692,69287,30.87,224473,69287,69287,True
Kalyani,Anjali Gogoi,All India Trinamool Congress,55468,560,56028,24.96,224473,56028,69287,False
Kalyani,Anita Bora,Indian National Congress,36238,366,36604,16.31,224473,36604,69287,False
Kalyani,Kavita Singh,Communist Party of India (Marxist),24349,245,24594,10.96,224473,24594,69287,False
Kalyani,Manoj Singh,None of the Above,13456,135,13591,6.05,224473,13591,69287,False
Kalyani,Sanjay Nair,Independent,1948,19,1967,0.88,224473,1967,69287,False
Haringhata,Anita Sen,Indian National Congress,90811,917,91728,39.66,231305,91728,91728,True
Haringhata,Suresh Kumar,None of the Above,44521,449,44970,19.44,231305,44970,91728,False
Haringhata,Suresh Kumar,Communist Party of India (Marxist),15601,157,15758,6.81,231305,15758,91728,False
Haringhata,Amit Sharma,All India Trinamool Congress,4461,45,4506,1.95,231305,4506,91728,False
Haringhata,Kavita Singh,Independent,3650,36,3686,1.59,231305,3686,91728,False
Haringhata,Manoj Nair,Bharatiya Janata Party,2990,30,3020,1.31,231305,3020,91728,False
Bagda,Kavita Gogoi,Bharatiya Janata Party,24902,251,25153,14.79,170052,25153,25153,True
Bagda,Anjali Singh,All India Trinamool Congress,18629,188,18817,11.07,170052,18817,25153,False
Bagda,Amit Menon,None of the Above,13769,139,13908,8.18,170052,13908,25153,False
Bagda,Kavita Bora,Indian National Congress,11937,120,12057,7.09,170052,12057,25153,False
Bagda,Manoj Bora,Communist Party of India (Marxist),2803,28,2831,1.66,170052,2831,25153,False
Bagda,Suresh Sharma,Independent,1987,20,2007,1.18,170052,2007,25153,False
Bangaon Uttar,Manoj Nair,All India Trinamool Congress,42366,427,42793,22.02,194311,42793,42793,True
Bangaon Uttar,Deepa Menon,Communist Party of India (Marxist),39662,400,40062,20.62,194311,40062,42793,False
Bangaon Uttar,Amit Singh,None of the Above,30054,303,30357,15.62,194311,30357,42793,False
Bangaon Uttar,Amit Bora,Indian National Congress,16545,167,16712,8.6,194311,16712,42793,False
Bangaon Uttar,Amit Gogoi,Bharatiya Janata Party,8441,85,8526,4.39,194311,8526,42793,False
Bangaon Uttar,Rahul Das,Independent,4621,46,4667,2.4,194311,4667,42793,False
Bangaon Dakshin,Amit Bora,All India Trinamool Congress,89146,900,90046,37.2,242033,90046,90046,True
Bangaon Dakshin,Kavita Kumar,Bharatiya Janata Party,60189,607,60796,25.12,242033,60796,90046,False
Bangaon Dakshin,Anjali Nair,Indian National Congress,40424,408,40832,16.87,242033,40832,90046,False
Bangaon Dakshin,Manoj Sharma,Communist Party of India (Marxist),10619,107,10726,4.43,242033,10726,90046,False
Bangaon Dakshin,Suresh Bora,None of the Above,6948,70,7018,2.9,242033,7018,90046,False
Bangaon Dakshin,Amit Gogoi,Independent,2864,28,2892,1.19,242033,2892,90046,False
Gaighata,Anita Sen,Indian National Congress,52021,525,52546,32.11,163643,52546,52546,True
Gaighata,Sunil Singh,None of the Above,27604,278,27882,17.04,163643,27882,52546,False
Gaighata,Kavita Patel,All India Trinamool Congress,25713,259,25972,15.87,163643,25972,52546,False
Gaighata,Priya Singh,Communist Party of India (Marxist),10011,101,10112,6.18,163643,10112,52546,False
Gaighata,Priya Bora,Bharatiya Janata Party,8459,85,8544,5.22,163643,8544,52546,False
Gaighata,Priya Nair,Independent,3449,34,3483,2.13,163643,3483,52546,False
Swarupnagar,Amit Menon,Bharatiya Janata Party,77496,782,78278,37.73,207483,78278,78278,True
Swarupnagar,Manoj Bora,All India Trinamool Congress,37068,374,37442,18.05,207483,37442,78278,False
Swarupnagar,Kavita Reddy,Communist Party of India (Marxist),36194,365,36559,17.62,207483,36559,78278,False
Swarupnagar,Deepa Das,None of the Above,9992,100,10092,4.86,207483,10092,78278,False
Swarupnagar,Kavita Kumar,Indian National Congress,6575,66,6641,3.2,207483,6641,78278,False
Swarupnagar,Rahul Sharma,Independent,734,7,741,0.36,207483,741,78278,False
Baduria,Priya Das,Communist Party of India (Marxist),41686,421,42107,19.35,217635,42107,42107,True
Baduria,Manoj Reddy,None of the Above,29928,302,30230,13.89,217635,30230,42107,False
Baduria,Kavita Reddy,Indian National Congress,29524,298,29822,13.7,217635,29822,42107,False
Baduria,Kavita Sharma,All India Trinamool Congress,27357,276,27633,12.7,217635,27633,42107,False
Baduria,Anjali Das,Bharatiya Janata Party,20767,209,20976,9.64,217635,20976,42107,False
